task_id,system,scenario,task_family,failure_type,primary_failtax,failtaxes,failure_step,expected_recovery_path,gold_tool,chosen_tool,state_slots,dependency_edges,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,token_cost,wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,clarification_precision,clarification_recall,unnecessary_question_rate,patch_success_rate,post_answer_retry_count,safe_abort,policy_compliance_success,state_repair_success,reuse_pass_index,reused_artifact,second_run_improvement,budget_violation,budget_violation_reason,recovery_budget_used,stop_reason,trace_path
tau2_env_ask_user_001__pass2,a3_interaction,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/006_tau2_env_ask_user_001__pass2_a3_interaction.json
tau2_env_ask_user_001__pass2,a4_reuse,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,True,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/006_tau2_env_ask_user_001__pass2_a4_reuse.json
tau2_approval_gate_001__pass1,a3_interaction,approval_required,t3_must_interact,approval_required,recovery,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,approval_required,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/007_tau2_approval_gate_001__pass1_a3_interaction.json
tau2_approval_gate_001__pass1,a4_reuse,approval_required,t3_must_interact,approval_required,recovery,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,approval_required,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/007_tau2_approval_gate_001__pass1_a4_reuse.json
tau2_approval_gate_001__pass2,a3_interaction,approval_required,t3_must_interact,approval_required,recovery,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,approval_required,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/008_tau2_approval_gate_001__pass2_a3_interaction.json
tau2_approval_gate_001__pass2,a4_reuse,approval_required,t3_must_interact,approval_required,recovery,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,approval_required,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/008_tau2_approval_gate_001__pass2_a4_reuse.json
tau2_binding_plus_approval_001__pass1,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,binding_failure,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/009_tau2_binding_plus_approval_001__pass1_a3_interaction.json
tau2_binding_plus_approval_001__pass1,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,binding_failure,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/009_tau2_binding_plus_approval_001__pass1_a4_reuse.json
tau2_binding_plus_approval_001__pass2,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,binding_failure,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/010_tau2_binding_plus_approval_001__pass2_a3_interaction.json
tau2_binding_plus_approval_001__pass2,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,binding_failure,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/010_tau2_binding_plus_approval_001__pass2_a4_reuse.json
tau2_state_stale_slot_001__pass1,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/011_tau2_state_stale_slot_001__pass1_a3_interaction.json
tau2_state_stale_slot_001__pass1,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/011_tau2_state_stale_slot_001__pass1_a4_reuse.json
tau2_state_stale_slot_001__pass2,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/012_tau2_state_stale_slot_001__pass2_a3_interaction.json
tau2_state_stale_slot_001__pass2,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/012_tau2_state_stale_slot_001__pass2_a4_reuse.json
tau2_state_checkpoint_resume_001__pass1,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,1,False,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/013_tau2_state_checkpoint_resume_001__pass1_a3_interaction.json
tau2_state_checkpoint_resume_001__pass1,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,1,False,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/013_tau2_state_checkpoint_resume_001__pass1_a4_reuse.json
tau2_state_checkpoint_resume_001__pass2,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,2,False,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/014_tau2_state_checkpoint_resume_001__pass2_a3_interaction.json
tau2_state_checkpoint_resume_001__pass2,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,2,True,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/014_tau2_state_checkpoint_resume_001__pass2_a4_reuse.json
tau2_state_wrong_write_target_001__pass1,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],True,2,0,0,0,2,0.0,0,state_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,False,0.0,False,,0.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/015_tau2_state_wrong_write_target_001__pass1_a3_interaction.json
tau2_state_wrong_write_target_001__pass1,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],True,2,0,0,0,2,0.0,0,state_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,True,0.0,False,,0.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/015_tau2_state_wrong_write_target_001__pass1_a4_reuse.json
tau2_state_wrong_write_target_001__pass2,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],True,2,0,0,0,2,0.0,0,state_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,False,0.0,False,,0.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/016_tau2_state_wrong_write_target_001__pass2_a3_interaction.json
tau2_state_wrong_write_target_001__pass2,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,write_tool,[],[],True,2,0,0,0,2,0.0,0,state_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,True,0.0,False,,0.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/016_tau2_state_wrong_write_target_001__pass2_a4_reuse.json
tau2_state_recovery_not_committed_001__pass1,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,1,False,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/017_tau2_state_recovery_not_committed_001__pass1_a3_interaction.json
tau2_state_recovery_not_committed_001__pass1,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,1,True,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/017_tau2_state_recovery_not_committed_001__pass1_a4_reuse.json
tau2_state_recovery_not_committed_001__pass2,a3_interaction,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,2,False,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/018_tau2_state_recovery_not_committed_001__pass2_a3_interaction.json
tau2_state_recovery_not_committed_001__pass2,a4_reuse,state_failure,t1_static_recovery,state_failure,state,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,0,1,1,2,0.0,0,environment_failure,True,1,1,True,1.0,1.0,0.0,1.0,0,False,False,True,2,True,0.0,False,,2.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/018_tau2_state_recovery_not_committed_001__pass2_a4_reuse.json
tau2_dual_control_001__pass1,a3_interaction,dual_control,t3_must_interact,dual_control,ordering,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,dual_control,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/019_tau2_dual_control_001__pass1_a3_interaction.json
tau2_dual_control_001__pass1,a4_reuse,dual_control,t3_must_interact,dual_control,ordering,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,dual_control,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,1,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/019_tau2_dual_control_001__pass1_a4_reuse.json
tau2_dual_control_001__pass2,a3_interaction,dual_control,t3_must_interact,dual_control,ordering,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,dual_control,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/020_tau2_dual_control_001__pass2_a3_interaction.json
tau2_dual_control_001__pass2,a4_reuse,dual_control,t3_must_interact,dual_control,ordering,"[""recovery""]",step_02,,,search_tool,[],[],False,1,0,2,1,2,0.0,0,dual_control,False,1,1,True,1.0,1.0,0.0,1.0,0,False,False,False,2,False,0.0,True,max_user_turns_exceeded,1.0,max_user_turns_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/020_tau2_dual_control_001__pass2_a4_reuse.json
tau2_interaction_failure_001__pass1,a3_interaction,environment_failure,t3_must_interact,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/021_tau2_interaction_failure_001__pass1_a3_interaction.json
tau2_interaction_failure_001__pass1,a4_reuse,environment_failure,t3_must_interact,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/021_tau2_interaction_failure_001__pass1_a4_reuse.json
tau2_interaction_failure_001__pass2,a3_interaction,environment_failure,t3_must_interact,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/022_tau2_interaction_failure_001__pass2_a3_interaction.json
tau2_interaction_failure_001__pass2,a4_reuse,environment_failure,t3_must_interact,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,2,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/022_tau2_interaction_failure_001__pass2_a4_reuse.json
tau2_policy_abort_001__pass1,a3_interaction,policy_failure,t3_must_interact,policy_failure,recovery,"[""recovery""]",step_02,,,,[],[],True,0,0,1,1,2,0.0,0,policy_failure,True,0,1,True,0.0,0.0,0.0,0.0,0,True,True,False,1,False,0.0,False,,1.0,safe_abort_success,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/023_tau2_policy_abort_001__pass1_a3_interaction.json
tau2_policy_abort_001__pass1,a4_reuse,policy_failure,t3_must_interact,policy_failure,recovery,"[""recovery""]",step_02,,,,[],[],True,0,0,1,1,2,0.0,0,policy_failure,True,0,1,True,0.0,0.0,0.0,0.0,0,True,True,False,1,False,0.0,False,,1.0,safe_abort_success,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/023_tau2_policy_abort_001__pass1_a4_reuse.json
tau2_policy_abort_001__pass2,a3_interaction,policy_failure,t3_must_interact,policy_failure,recovery,"[""recovery""]",step_02,,,,[],[],True,0,0,1,1,2,0.0,0,policy_failure,True,0,1,True,0.0,0.0,0.0,0.0,0,True,True,False,2,False,0.0,False,,1.0,safe_abort_success,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/024_tau2_policy_abort_001__pass2_a3_interaction.json
tau2_policy_abort_001__pass2,a4_reuse,policy_failure,t3_must_interact,policy_failure,recovery,"[""recovery""]",step_02,,,,[],[],True,0,0,1,1,2,0.0,0,policy_failure,True,0,1,True,0.0,0.0,0.0,0.0,0,True,True,False,2,False,0.0,False,,1.0,safe_abort_success,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/024_tau2_policy_abort_001__pass2_a4_reuse.json
